actor,films_cnt,actors_cnt
Miori Takimoto,1,3
Mirai Shida,1,3
Miranda Richardson,1,3
Miriam Shor,1,3
Mirjana Jokovic,1,3
Misa Uehara,1,3
Misha Meskhi,1,3
Miss Piggy,1,3
Mitchell Ryan,1,3
Mitchell Whitfield,1,3
Mithun Chakraborty,1,3
Mitsuo Iwata,1,3
Mitsutaka Itakura,1,3
Miyu Irino,2,6
Mohammad Amir Naji,1,3
Mohanlal,1,3
Mohit Raina,1,3
Moira Shearer,2,6
Molly Picon,1,3
Molly Ringwald,1,3
Mona Singh,1,3
Mone Kamishiraishi,1,3
Monica Viegas,1,3
Monica Vitti,1,3
Montgomery Clift,2,6
Moon So-Ri,1,3
Morena Baccarin,2,5
Morgan Freeman,7,20
Moritz Bleibtreu,3,9
Muhammet Uzuner,1,3
Mustafa Kamel,1,3
Myrna Loy,2,6
Mélanie Laurent,1,3
Mélanie Thierry,1,3
Mélissa Désormeaux-Poulin,1,3
Mía Maestro,1,3
Mónica Villa,1,3
Nafise Jafar-Mohammadi,1,3
Nakul Roshan Sahdev,1,3
Nanako Matsushima,1,3
Nancy Kyes,1,3
Nancy Olson,1,3
Naomi Watts,3,9
Naomie Harris,2,6
Nargis Fakhri,1,3
Naseeruddin Shah,1,3
Nastassja Kinski,1,3
Nat Pendleton,1,3
Nat Wolff,1,3
Natalie Dessay,1,3
Natalie Portman,3,9
Natalie Wood,1,3
Nataliya Vdovina,1,3
Natalya Bondarchuk,1,3
Nathalie Boltt,1,3
Nathalie Delon,1,3
Nathan Fillion,1,3
Nawazuddin Siddiqui,4,12
Ned Beatty,2,6
Neena Gupta,1,3
Neeraj Kabi,1,3
Neeral Mulchandani,1,3
Neil Brown Jr.,1,3
Neil Patrick Harris,1,3
Nell Cattrysse,1,3
Nicholas Hoult,1,3
Nick Frost,2,5
Nick Moran,1,3
Nick Nolte,2,6
Nick Offerman,1,3
Nicolas Bro,1,3
Nicolas Cage,3,9
Nicole Kidman,3,9
Nicoletta Braschi,2,5
Niels Arestrup,1,3
Nigel Havers,1,3
Nikolay Burlyaev,1,3
Nikolay Grinko,2,5
Nikolay Sergeev,1,3
Nils Poppe,1,3
Nimrat Kaur,2,6
Nina Petri,1,3
Nina van Pallandt,1,3
Nisa Sofiya Aksongur,1,3
Noah Emmerich,1,3
Nobuo Kaneko,1,3
Noomi Rapace,1,3
Nora Gregor,1,3
Nora Twomey,1,3
Nora-Jane Noone,1,3
Noriko Hidaka,1,3
Norma Crane,1,3
Norman Ferguson,1,3
Norman Reedus,1,3
Norman Taurog,1,3
Nozomu Sasaki,1,3
Noémie Merlant,1,3
Nurgül Yesilçay,1,3
Nursel Köse,1,3
O'Shea Jackson Jr.,1,3
O.J. Simpson,1,3
Octavia Spencer,3,9
Oka Antara,1,3
Oksana Akinshina,1,3
Oleg Yankovskiy,1,3
Olga Baclanova,1,3
Olga Mironova,1,3
Oliver Reed,1,3
Oliver Stokowski,1,3
Olivia Cooke,2,6
Olivia Wilde,1,3
Olivia Williams,2,6
Olivia de Havilland,1,3
Omar Sharif,1,3
Omar Sy,1,3
Oprah Winfrey,1,3
Orlando Bloom,4,7
Orson Welles,3,8
Orto Ignatiussen,1,3
Osamu Saka,1,3
Oscar Isaac,2,5
Oskar Werner,1,3
Ossie Davis,1,3
Otto Preminger,1,3
Otto Sander,1,3
Otto Wernicke,1,3
Owen Wilson,2,6
Ozan Güven,1,3
Pablo Rago,1,3
Paddy Considine,3,9
Paige O'Hara,1,3
Pamela Adlon,1,3
Paolo Bonacelli,1,3
Paprika Steen,2,5
Parambrata Chattopadhyay,1,3
Paresh Rawal,4,11
Pascal Benezech,1,3
Pascal Greggory,1,3
Patricia Arquette,4,12
Patricia Clarkson,1,3
Patricia Neal,2,6
Patrick Fugit,1,3
Patrick Horgan,1,3
Patrick Huard,1,3
Patrick Magee,2,6
Patrick McGoohan,2,6
Patrick Renna,1,3
Patrick Stewart,2,5
Patrick Wilson,1,3
Patrick Wymark,1,3
Patton Oswalt,1,3
Paul Benjamin,1,3
Paul Bettany,1,3
Paul Dano,1,3
Paul Frankeur,1,3
Paul Freeman,1,3
Paul Giamatti,2,6
Paul Henreid,1,3
Paul Lukas,1,3
Paul McCartney,1,3
Paul McGann,1,3
Paul Meurisse,1,3
Paul Muni,1,3
Paul Newman,6,16
Paul Raci,1,3
Paul Reiser,2,6
Paul Rudd,1,3
Paul Sanchez,1,3
Paul Scofield,1,3
Paul Winfield,1,3
Paulette Dubost,1,3
Paulette Goddard,2,5
Pauline Burlet,1,3
Pavel Ponomaryov,1,3
Pawan Malhotra,1,3
Payman Maadi,1,3
Penelope Allen,1,3
Penelope Ann Miller,1,3
Penélope Cruz,2,6
Per Ragnar,1,3
Pernilla Allwin,1,3
Perry Lopez,1,3
Pete Postlethwaite,1,3
Peter Billingsley,1,3
Peter Boyle,1,3
Peter Brocco,1,3
Peter Bull,1,3
Peter Coyote,1,3
Peter Dinklage,1,3
Peter Finch,1,3
Peter Lorre,2,6
Peter O'Toole,3,9
Peter Ostrum,1,3
Peter Ramsey,1,3
Peter Sellers,3,9
Peter Stormare,1,3
Peter Wyngarde,1,3
Peter van Eyck,1,3
Phil Harris,1,3
Phil Lord,1,3
Philip Chan,1,3
Philip King,1,3
Philip Seymour Hoffman,6,18
Philippe Noiret,2,5
Phillip Terry,1,3
Phillipa Soo,1,3
Phylicia Rashad,1,3
Phyllis Logan,1,3
Pierre Barbaud,1,3
Pierre Brasseur,1,3
Pierre Fresnay,1,3
Ping Lam Siu,1,3
Piper Laurie,1,3
Polly Bergen,1,3
Porter Hall,1,3
Prabhas,2,5
Prakash Belawadi,1,3
Prateik,1,3
Predrag 'Miki' Manojlovic,1,3
Preity Zinta,3,7
Priscilla Lane,1,3
Priscilla Presley,1,3
Priya Anand,1,3
Priyanka Chopra,1,3
Pruitt Taylor Vince,1,3
Pupella Maggio,1,3
Pushkar,1,3
Qiu Yuen,1,3
Quentin Tarantino,1,3
Quinton Aaron,1,3
R. Lee Ermey,1,3
RJ Cyler,1,3
Rachel Griffiths,1,3
Rachel House,1,3
Rachel McAdams,6,18
Rachel Shelley,1,3
Rachel Ticotin,1,3
Rachel Weisz,1,3
Radha Mitchell,2,6
Radhika Apte,1,3
Raghuvir Yadav,1,3
Rajat Barmecha,1,3
Rajat Kapoor,1,3
Rajesh Abhay,1,3
Rajesh Khanna,1,3
Rajit Kapoor,1,3
Rajkummar Rao,2,6
Ralph Bellamy,1,3
Ralph Brown,1,3
Ralph Fiennes,3,9
Ralph Macchio,1,3
Ralph Meeker,1,3
Ralph Richardson,1,3
Ram Kapoor,1,3
Ramachandra Raju,1,3
Ramesh Deo,1,3
Rami Malek,1,3
Ramon Bieri,1,3
Ramya Krishnan,1,3
Rana Daggubati,3,8
Ranbir Kapoor,2,6
Randy Quaid,1,3
Rani Mukerji,2,6
Ranveer Singh,1,3
Raoul Max Trujillo,1,3
Raphael Fejtö,1,3
Rashida Jones,1,3
Raveena Tandon,1,3
Ray Liotta,1,3
Ray Milland,2,6
Ray Sahetapy,1,3
Ray Walston,1,3
Raymond Massey,2,6
Rebecca De Mornay,1,3
Reda Kateb,1,3
Reese Witherspoon,1,3
Regina King,1,3
Reginald Gardiner,1,3
Reginald VelJohnson,1,3
Rei Sakuma,1,3
Ren Osugi,1,3
Rena Owen,1,3
Rene Auberjonois,1,3
Rene Bitorajac,1,3
Rene Russo,1,3
Reni Santoni,1,3
Renée Elise Goldsberry,1,3
Renée Zellweger,1,3
Rex Harrison,1,3
Rhonda Fleming,1,3
Rica Matsumoto,1,3
Ricardo Darín,2,6
Ricardo Montalban,1,3
Rich Moore,1,3
Richa Chadha,1,3
Richard Armitage,2,4
Richard Attenborough,2,6
Richard Basehart,1,3
Richard Briers,1,3
Richard Burton,2,6
Richard Crenna,2,6
Richard Dormer,1,3
Richard Dreyfuss,2,6
Richard E. Grant,1,3
Richard Edson,1,3
Richard Farnsworth,2,6
Richard Gere,3,9
Richard Griffiths,2,6
Richard Harris,2,6
Richard Haydn,1,3
Richard Hunt,1,3
Richard Jenkins,1,3
Richard Masur,1,3
Richard Rosson,1,3
Richard Thorpe,1,3
Richard Widmark,1,3
Ricky Adelayitor,1,3
Ricky Nelson,1,3
Riisa Naka,1,3
Rima Te Wiata,1,3
Ringo Starr,1,3
Rita Hayworth,1,3
River Phoenix,1,3
Riz Ahmed,2,6
Rob Maxey,1,3
Rob Minkoff,1,3
Rob Reiner,1,3
Robby Benson,1,3
Robert Armstrong,1,3
Robert Arthur,1,3
Robert Cummings,1,3
Robert De Niro,17,45
Robert Donat,1,3
Robert Downey Jr.,7,14
Robert Duvall,4,12
Robert Gulaczyk,1,3
Robert Hays,1,3
Robert Manuel,1,3
Robert Mitchum,3,9
Robert Morley,1,3
Robert Patrick,2,6
Robert Redford,3,8
Robert Rodriguez,1,3
Robert Ryan,1,3
Robert Sean Leonard,1,3
Robert Shaw,4,12
Robert Stack,1,3
Robert Strauss,1,3
Robert Walker,1,3
Roberta Maxwell,1,3
Roberto Benigni,2,5
Roberts Blossom,1,3
Robin Williams,4,12
Robin Wright,3,9
Rock Hudson,1,3
Rod Steiger,4,12
Rod Taylor,1,3
Roddy McDowall,1,3
Rodney A. Grant,1,3
Rodney Rothman,1,3
Rodrigo De la Serna,1,3
Roe-ha Kim,1,3
Rohini Hattangadi,1,3
Roland Møller,1,3
Rolf Lassgård,2,6
Roman Griffin Davis,1,3
Roman Madyanov,1,3
Roman Polanski,1,3
Romolo Valli,1,3
Ron Livingston,1,3
Ronit Roy,1,3
Ronnie Del Carmen,1,3
Ronny Cox,1,3
Rooney Mara,4,12
Rory Cochrane,1,3
Rosalind Russell,1,3
Rosamund Pike,1,3
Rosanna Arquette,1,3
Rosario Dawson,2,6
Rosario Flores,1,3
Roscoe Ates,1,3
Roscoe Karns,1,3
Rosemarie DeWitt,1,3
Rosemary Murphy,1,3
Roshan Seth,1,3
Rosie Shaw,1,3
Roy Dotrice,1,3
Roy Kinnear,1,3
Roy Scheider,3,9
Ruby Dee,1,3
Rudolf Klein-Rogge,1,3
Rudy Youngblood,1,3
Rufus,1,3
Rufus Sewell,2,6
Rumi Hiiragi,1,3
Ruocheng Ying,1,3
Rupert Friend,1,3
Rupert Graves,1,3
Rupert Grint,6,8
Russell Brand,1,3
Russell Crowe,7,20
Russell Means,1,3
Rusty Schwimmer,1,3
Rutger Hauer,1,3
Ruth Gordon,2,6
Ruth Hussey,1,3
Ruth Nelson,1,3
Ruth Roman,1,3
Ruy Guerra,1,3
Ryan Gosling,5,15
Ryan Hurst,1,3
Ryan O'Neal,2,6
Ryan Potter,1,3
Ryan Reynolds,2,5
Ryûnosuke Kamiki,2,6
Ryô Kase,1,3
Ryô Narita,1,3
Ryôko Hirosue,1,3
Sabrina Ferilli,1,3
Sacha Baron Cohen,1,3
Sady Rebbot,1,3
Sae-ron Kim,1,3
Saeed Jaffrey,1,3
Safak Sezer,1,3
Sagarika Ghatge,1,3
Sahil Vaid,1,3
Saif Ali Khan,2,5
Saifei He,1,3
Sakshi Tanwar,1,3
Sakura Andô,1,3
Sal Mineo,1,3
Salim Kechiouche,1,3
Sally Field,1,3
Sally Hawkins,1,3
Sally Yeh,1,3
Salman Khan,2,6
Sam Elliott,2,6
Sam Jaffe,1,3
Sam Neill,2,6
Sam Riley,1,3
Sam Rockwell,3,9
Sam Shepard,2,6
Sam Waterston,1,3
Sam Wood,1,3
Sam Worthington,2,6
Samantha Isler,1,3
Samantha Morton,4,12
Samia Kerbash,1,3
Samuel Armstrong,1,3
Samuel E. Wright,1,3
Samuel L. Jackson,6,17
Sandra Bernhard,1,3
Sandra Bullock,3,9
Sandra Milo,1,3
Sandy Dennis,1,3
Sanjana Sanghi,1,3
Sanjay Dutt,3,7
Sanjeev Kumar,1,3
Sanya Malhotra,2,6
Saoirse Ronan,2,6
Saori Hayami,1,3
Sara Takatsuki,1,3
Sarah Berry,1,3
Sarah Bolger,1,3
Sarah Jessica Parker,1,3
Sarah Miles,1,3
Sarah Polley,1,3
Sarah Roemer,1,3
Sarah Silverman,1,3
Sarah Vowell,1,3
Sareh Bayat,1,3
Saswata Chatterjee,1,3
Sathyaraj,1,3
Saurabh Shukla,2,6
Saïd Taghmaoui,1,3
Scarlett Johansson,9,23
Scatman Crothers,1,3
Scott Adsit,1,3
Scott Glenn,2,6
Scott H. Reiniger,1,3
Scott Schwartz,1,3
Scott Weinger,1,3
Seamus Davey-Fitzpatrick,1,3
Sean Astin,1,3
Sean Bean,1,3
Sean Bridgers,1,3
Sean Connery,5,15
Sean Patrick Flanery,1,3
Sean Penn,6,18
Sean Young,1,3
Sebastian Cabot,1,3
Sebastian Koch,2,6
Sebastian Maniscalco,1,3
Sela Ward,1,3
Sener Sen,1,3
Sergi López,1,3
Sermin Hürmeriç,1,3
Sessue Hayakawa,1,3
Seth Rogen,1,3
Setsuko Hara,1,3
Seung-Yun Lee,1,3
Seymour Cassel,1,3
Shah Rukh Khan,6,16
Shahab Hosseini,3,8
Shahid Kapoor,3,8
Shailene Woodley,1,3
Shameik Moore,1,3
Shammi Kapoor,1,3
Sharlto Copley,1,3
Sharman Joshi,2,5
Sharon Percy,1,3
Sharon Stone,1,3
Sheetal Menon,1,3
Shelley Duvall,1,3
Shelley Winters,1,3
Shernaz Patel,1,3
Shigeru Muroi,1,3
Shigesato Itoi,1,3
Shilpa Shukla,1,3
Shima Iwashita,1,3
Shin Ha-kyun,1,3
Shin'ichi Himori,1,3
Shinpachi Tsuji,1,3
Shirley Eaton,1,3
Shirley MacLaine,2,6
Shishir Sharma,1,3
Shraddha Kapoor,2,6
Shraddha Srinath,1,3
Shriya Saran,1,3
Shûichirô Moriyama,1,3
Shôgo Furuya,1,3
Sibel Kekilli,1,3
Siddharth,1,3
Sidney Blackmer,1,3
Sidney Poitier,2,6
Sidse Babett Knudsen,1,3
Sienna Miller,1,3
Sigourney Weaver,4,12
Silvia Pinal,1,3
Simon Pegg,4,11
Simon Yam,1,3
Simone Signoret,1,3
Sissy Spacek,2,6
Siu-Lung Leung,1,3
Siu-Wong Fan,1,3
Slavko Stimac,1,3
Slim Pickens,1,3
Smit Sheth,1,3
Soha Ali Khan,1,3
Sohum Shah,2,6
Soia Lira,1,3
Soledad Villamil,1,3
Solveig Dommartin,1,3
Sonam Kapoor,1,3
Sondra Locke,1,3
Song Wok-suk,1,3
Sonia Todd,1,3
Sonoya Mizuno,1,3
Sophie Kennedy Clark,1,3
Sophie Marceau,1,3
Sophie Okonedo,1,3
Sophie Perry,1,3
Spencer Tracy,3,9
Spike Lee,1,3
Srdjan 'Zika' Todorovic,1,3
Sridevi,1,3
Srinidhi Shetty,1,3
Stanislas Carré de Malberg,1,3
Stanley Baker,1,3
Stanley Holloway,2,6
Stefania Sandrelli,1,3
Stella Dassas,1,3
Stellan Skarsgård,3,9
Stephen Baldwin,1,3
Stephen Boyd,1,3
Stephen Chow,1,3
Stephen Graham,1,3
Stephen Rea,1,3
Stephen Tobolowsky,1,3
Stephen Trask,1,3
Stephen Young,1,3
Sterling Hayden,3,9
Steve Buscemi,1,3
Steve Carell,3,9
Steve Coogan,1,3
Steve Martin,1,3
Steve McQueen,3,8
Steve Zahn,1,3
Steven Bauer,1,3
Strother Martin,2,5
Stuart Wolfenden,1,3
Sully Boyar,1,3
Sumi Shimamoto,1,3
Sumita Sanyal,1,3
Sunil Dutt,1,3
Sunil Shetty,1,3
Sunny Pawar,1,3
Suraj Sharma,1,3
Suriya,1,3
Susan Harrison,1,3
Susanne Lothar,1,3
Sushant Singh Rajput,4,12
Susumu Terajima,1,3
Suzanne Clément,1,3
Suzanne Pleshette,2,6
Sylvester Stallone,3,9
Sylvia Hoeks,1,3
Sylvia Miles,1,3
Sylvie Testud,1,3
Sô Yamamura,1,3
T.J. Miller,1,3
Taapsee Pannu,2,6
Tabu,5,15
Tae-Hyun Cha,1,3
Tae-hoon Kim,1,3
Tahar Rahim,2,6
Taika Waititi,2,7
Takako Matsu,1,3
Takao Osawa,1,3
Takashi Shimura,4,10
Takashi Tachibana,1,3
Takeshi Aono,1,3
Takeshi Kaneshiro,2,6
Takeshi Kitano,2,6
Takuya Ishida,1,3
Takuya Kimura,1,3
Talia Shire,2,6
Tallulah Bankhead,1,3
Tamannaah Bhatia,1,3
Taner Birsel,1,3
Taraji P. Henson,1,3
Taraneh Alidoosti,2,5
Taron Egerton,1,3
Tarun Arora,1,3
Tarô Yamamoto,1,3
Tatsuya Fujiwara,3,9
Tatsuya Gashûin,1,3
Tatsuya Nakadai,6,15
Tatum O'Neal,1,3
Telly Savalas,1,3
Temuera Morrison,1,3
Tensai Okamura,1,3
Teo Briones,1,3
Terence Alexander,1,3
Teresa Mo,1,3
Teresa Palmer,1,3
Teresa Wright,2,6
Teri Garr,1,3
Teri Hatcher,1,3
Terrence Howard,1,3
Terry Gilliam,1,3
Terry Jones,1,3
Tessa Mitchell,1,3
Tessa Thompson,1,3
Tesshô Genda,1,3
Tetsurô Tanba,1,3
Thandie Newton,2,6
Thelma Ritter,1,3
Theodore Liscinski,1,3
Thibault Verhaeghe,1,3
Thierry Lhermitte,1,3
Thierry van Werveke,1,3
Thom Hoffman,1,3
Thomas Bo Larsen,3,8
Thomas F. Wilson,1,3
Thomas Kretschmann,1,3
Thomas Mann,1,3
Thomas Mitchell,2,6
Thomas Turgoose,1,3
Thomasin McKenzie,1,3
Thora Birch,1,3
Tigmanshu Dhulia,1,3
Til Schweiger,1,3
Tilda Swinton,2,6
Tim Allen,4,9
Tim Blake Nelson,1,3
Tim Holt,1,3
Tim McGraw,1,3
Tim Robbins,4,12
Tim Roth,2,6
Timothy Bottoms,1,3
Timothy Hutton,1,3
Timothy Spall,1,3
Timothée Chalamet,1,3
Tina Fey,1,3
Tiny Sandford,1,3
Tippi Hedren,1,3
Tisca Chopra,1,3
Tobey Maguire,1,3
Toby Kebbell,1,3
Tokiko Katô,1,3
Tom Berenger,2,6
Tom Cruise,7,21
Tom Guiry,1,3
Tom Hanks,14,38
Tom Hardy,5,15
Tom Helmore,1,3
Tom Hiddleston,1,3
Tom Hulce,1,3
Tom Murray,1,3
Tom Prior,1,3
Tom Sizemore,2,6
Tom Skerritt,1,3
Tom Waits,1,3
Tom Wilkinson,2,5
Tommy Chong,1,3
Tommy Lee Jones,2,6
Tomoko Yamaguchi,1,3
Toni Collette,3,9
Toni Servillo,1,3
Tony Chiu-Wai Leung,5,14
Tony Curtis,2,6
Tony Hale,1,3
Tony Lo Bianco,1,3
Tony Moran,1,3
Tony Roberts,1,3
Tony Todd,1,3
Topol,1,3
Toshirô Mifune,7,16
Toshirô Yanagiba,1,3
Treat Williams,1,3
Trevor Howard,2,6
Trevor Jack Brooks,1,3
Trey Parker,1,3
Trine Dyrholm,1,3
Tsunehiko Kamijô,1,3
Tsutomu Tatsumi,1,3
Tsutomu Yamazaki,2,6
Tsuyoshi Ihara,1,3
Tugba Sunguroglu,1,3
Tuncel Kurtiz,1,3
Tung Cho 'Joe' Cheung,1,3
Tyler Hoechlin,1,3
Tyler Perry,1,3
Tyrone Power,1,3
Tôru Emori,2,6
Tôru Furuya,1,3
Ugur Yücel,1,3
Ulla Jacobsson,1,3
Ulrich Matthes,1,3
Ulrich Mühe,2,6
Ulrich Thomsen,2,5
Ulrich Tukur,2,6
Uma Thurman,4,9
Val Kilmer,3,9
Valentin Zubkov,1,3
Valeria Golino,2,6
Valerie Faris,1,3
Valerie Hobson,2,6
Vanessa Redgrave,1,3
Vanna Urbino,1,3
Varun Sharma,1,3
Veerle Baetens,1,3
Vera Miles,3,8
Verna Bloom,1,3
Vernon Dobtcheff,1,3
Veronica Cartwright,1,3
Vicellous Shannon,1,3
Vicky Jenson,1,3
Vicky Kaushal,2,6
Victor Buono,1,3
Victor Jory,1,3
Victor Sjöström,1,3
Victor Slezak,1,3
Victoria Horne,1,3
Vidya Balan,2,6
Vidya Malvade,1,3
Viggo Mortensen,5,12
Vijay Raaz,1,3
Vijay Sethupathi,1,3
Vijay Varma,1,3
Vin Diesel,3,7
Vince Edwards,1,3
Vince Vaughn,1,3
Vincent Cassel,2,6
Vincent D'Onofrio,1,3
Vincent Price,1,3
Ving Rhames,1,3
Vinícius de Oliveira,1,3
Viola Davis,2,6
Virginia Cherrill,1,3
Virginia Mayo,1,3
Vivian Pickles,1,3
Vivien Leigh,2,6
Vlad Ivanov,1,3
Vladas Bagdonas,1,3
Vladimir Barskiy,1,3
Vladimir Garin,1,3
Vladimir Vdovichenkov,1,3
Vladislav Dvorzhetskiy,1,3
Véra Clouzot,1,3
Wagner Moura,2,4
Wah Yuen,1,3
Wallace Ford,2,6
Walter Brennan,1,3
Walter Catlett,1,3
Walter Connolly,1,3
Walter Hampden,1,3
Walter Huston,1,3
Walter Matthau,4,11
Walter Slezak,1,3
Walton Goggins,1,3
Ward Bond,2,5
Warren Beatty,1,3
Warren Clarke,1,3
Warren Oates,2,6
Wendee Lee,1,3
Wendell Corey,1,3
Wendy Crewson,1,3
Wendy Hiller,1,3
Werner Krauss,1,3
Wes Bentley,1,3
Wesley Addy,1,3
Whoopi Goldberg,1,3
Wil Johnson,1,3
Wil Wheaton,1,3
Wiley Wiggins,2,6
Wilford Brimley,1,3
Wilfrid Hyde-White,1,3
Will Ferrell,1,3
Will Forte,1,3
Will Patton,1,3
Will Poulter,1,3
Will Smith,2,6
Willem Dafoe,5,15
William Atherton,1,3
William Bendix,1,3
William Daniels,1,3
William H. Lynn,1,3
William H. Macy,1,3
William Harrigan,1,3
William Hickey,1,3
William Holden,6,18
William Hurt,1,3
William Keighley,1,3
William Powell,1,3
William Sadler,1,3
William Shatner,1,3
William Sylvester,1,3
Winona Ryder,3,9
Wladyslaw Kowalski,1,3
Wolfgang Lukschy,1,3
Won Bin,3,9
Wood Harris,1,3
Woody Allen,5,13
Woody Harrelson,3,9
Wotan Wilke Möhring,1,3
Xolani Mali,1,3
Yacef Saadi,1,3
Yalitza Aparicio,1,3
Yami Gautam,2,6
Yash,1,3
Yasuo Yamada,1,3
Yayan Ruhian,1,3
Yeong-hie Seo,1,3
Yeong-su Oh,1,3
Yesim Salkim,1,3
Yilmaz Erdogan,2,6
Yoko Honna,2,6
Yong Dong,1,3
Yoo Ji-Tae,1,3
Yoo-Jeong Kim,1,3
Yordanos Shiferaw,1,3
Yoshiaki Umegaki,1,3
Yoshiko Shinohara,1,3
Yoshino Kimura,1,3
Yoshiyuki Takei,1,3
You Ge,1,3
Yukiko Shimazaki,1,3
Yukito Nishii,2,6
Yul Brynner,2,6
Yun Qu,1,3
Yun-Fat Chow,3,9
Yuriko Ishida,1,3
Yutaka Sada,1,3
Yves Montand,1,3
Yvonne Furneaux,2,6
Yû Kashii,1,3
Yûko Miyamura,1,3
Yûko Tanaka,1,3
Yûnosuke Itô,1,3
Yôji Matsuda,1,3
Yôko Tsukasa,1,3
Zac Mattoon O'Brien,1,3
Zach Galifianakis,2,6
Zach Grenier,1,3
Zachary Levi,1,3
Zachary Quinto,2,5
Zack Gottsagen,1,3
Zain Al Rafeea,1,3
Zamira Saunders,1,3
Zarah Jane McKenzie,1,3
Zazie Beetz,1,3
Zbigniew Zamachowski,2,5
Zeppo Marx,1,3
Ziyi Zhang,2,6
Zoe Saldana,4,10
Zooey Deschanel,1,3
Zoë Kravitz,1,3
Álvaro Guerrero,1,3
Ömer Faruk Sorak,1,3
Özge Özberk,1,3
Çetin Tekindor,2,6
Émile Vallée,1,3
Éric Toledano,1,3
